Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IPVF,InterPrivate III Financial Partners Inc. Class A Common Stock,$10.68,0.00,0.00%,83525920.00,,2021,1000,Finance,Investment Bankers/Brokers/Service
ISDR,Issuer Direct Corporation Common Stock,$15.95,-2.65,-14.247%,60755927.00,United States,,8607,Consumer Discretionary,Publishing
ITP,IT Tech Packaging Inc. Common Stock,$0.30,-0.001,-0.332%,3019776.00,China,,18089,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.7249,-0.0119,-1.615%,49856829.00,,,24954,,
JOB,GEE Group Inc. Common Stock,$0.546,-0.0069,-1.248%,61777569.00,United States,1968,113303,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$10.82,-0.01,-0.092%,0.00,,2021,6727,Finance,Blank Checks
KIQ,Kelso Technologies Inc Ordinary Shares,$0.1773,-0.0067,-3.641%,9630951.00,Canada,,73212,,
KNW,Know Labs Inc. Common Stock,$0.3945,0.0555,16.372%,20655414.00,,2022,1129590,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.3136,-0.0138,-4.215%,37250244.00,United States,,279616,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.04,-0.03,-2.804%,181986138.00,United States,,759651,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$50.53,-0.09,-0.178%,784551771.00,United States,2014,115533,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$4.55,0.055,1.224%,24355863.00,United States,1946,5916,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$171.62,0.95,0.557%,40889300103.00,United States,2001,1104376,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.4683,-0.0153,-3.164%,54852084.00,United States,,321347,Industrials,Major Chemicals
LPTV,Loop Media Inc. Common Stock,$0.3793,-0.0047,-1.224%,22520202.00,United States,2022,118274,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$0.8713,-0.0286,-3.178%,8141116.00,,2020,14318,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$7.98,-0.15,-1.845%,214430309.00,United Kingdom,2012,340767,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$9.89,-0.20,-1.982%,1018113114.00,Canada,,1044792,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.99,-0.08,-3.865%,28284887.00,,2022,1843038,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.0461,-0.0739,-6.598%,41199036.00,,2022,1623,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$9.37,-0.44,-4.485%,108654810.00,United States,,2808,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$0.1289,-0.0023,-1.753%,4510454.00,,2023,130570,Consumer Discretionary,Other Specialty Stores
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.1555,-0.0045,-2.813%,11606348.00,United States,2020,539014,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$0.77,0.0201,2.68%,8228049.00,United States,2021,1033,Telecommunications,Telecommunications Equipment
